code,CHECK,GUIDELINE,auth_note,c_REVIEW,c_HEUMLE,c_SW,c_WCAG,c_D4ALL,n. papers,important (For average elderly user),touchscreen specific,web specific,general,multimodal,supplementary device/tool,text,font,graphics (icons & images),screen design (appearance),color,customization,navigation,errors,feedback,special needs,data input,element-content,element-interaction,element-size,element-placing
25,Always a way out?,"-User can always go back and/or exit system
-For each individual situation an applicable exit is provided: return/back/cancel/exit/undo,etc ",,-,Does launcher provide emergency exits to leave unwanted point?,-,-,"-The application should allow recovery from errors in the simplest possible way.
-Provide a way to exit on every screen
-Always provide a ‘home’ button, and let users know ‘where’ they are.
-I can easily reverse my actions if I make a mistake in using this application.
-Easy reversal of actions. Review page provided easy reversal of actions.
-Provide “undo” or “back” button to help users recover if lose
-Maintain a ""return"" function apparent on the interface
-Provide “undo” or “back” button to help users recover if lose",9,y,n,n,y,n,n,n,n,n,n,n,y,y,y,y,n,n,n,n,n,n
26,Inputting data is made easy for the user?,"-A narrower spacebar might be useful for some use cases
-Allow customizing keyboard layout
-Tracking the touchpoint for keys can help mitigating input mistakes
-Provide autocorrection functionality
-Provide autosuggestion functionality",,-,Does the graphical interface design and the organization help prevent errors?,"-Search engines should cater for spelling errors
-Reduce the risk of input errors for sensitive data",-,"-Narrower spacebar. Results of touch deviations suggest that spacebar should be narrower. Reducing its size has the potential to diminish substitution errors. We recommend a spacebar extending from middle of C to middle of B for both devices.
-Shift keyboard layout. Elderly participants theoretically benefit from a layout shift in the bottom~right direction as most substitution errors occur in this direction. This finding may be related to hand dominance, thus further research should explore this hypothesis. 
-Compensate hand tremor. Future keyboards should adapt to users’ hand tremor characteristics. Results showed large correlations between tremor measures and input accuracy, namely when considering substitution errors. Taking advantage of current mobile sensing capabilities, future solutions should trace users’ tremor profile to compensate typing errors.
-Shift the touch points to the top and to the opposite side of the hand the user is using to type... Conversely, users who only used their left hand benefit with a top-right shift of their touch points. Users who interacted with both hands will, hypothetically, benefit with a top-left shift of the touch points performed on the right side of the keyboar
-Therefore provide an adaptive model that constantly updates the center of each individual key.
-Smartphones that do not have a physical Qwerty should provide voice and shape-writing recognition input as standard options and alternatives to onscreen Qwerty
-Insert tactile marks on base keys on virtual keyboards to facilitate the location of other keys
-Use automatic inputs as possible
-Use language-based correctors
-Use spelling checker in input and search fields
-As the text input for motor-impaired people is slow, prediction is popular
technique to improve the text entry rate.",15,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n
27,Color is never the only vessel of information?,"- Never inform user of something by using only color 
- Supplement color as information tool with other means, such as: sound, haptic, ot text feedback",,-,,Content should not all be in colour alone (colour here is denoted  by all colours other than black and white),"-Ensure no instructions rely on colour alone
-Ensure that no information (like charts and graphs) relies on colour alone","-Don't use colours to convey critical information (for people blind to colours). They can be used if they are combined with other signalling (icons, symbols …)
-Grouping menus by colour alone can also lead to difficulties. Instead it would be preferable to use text, spacing or frames.
-It is also recommended that colour is used to group items together and provide activity feedback but that it should be used sparingly and with colour blind users in mind.
-Avoid utilising too much color
-Some chat applications might use shapes and colours to improve the interface. However, the use of these shapes and colours should not be used to convey information. These methods must be combined with other clues so as to not discriminate users with visual impairments",7,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n
28,Main navigation links are consistently available?,"Navigation menu or options (if only limited number) should always be visibile and in a consistent way, i.e. use same icon/color/style/text and never change location",,-,-Does the main navigation menu exist consistently in all pages?,"-Screen layout, navigation and terminology used should be simple, clear and consistent
- Clear navigation should be provided
- Reduce the demand on working memory by supporting recognition  rather than recall and provide fewer choices to the user",-,"-The basic navigation structure should remain consistent throughout the whole application. Most internet services place the main menu on the left-hand side of the page, key elements like login, search and customer support functionality are placed on the top of a page. Users are used to this arrangements.
-Make the navigation menu visible all the time
-The main navigation should be placed identically on all “pages”",7,y,n,n,y,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y
30,User knows their current location in the system?,"Make sure the user knows where he is in the system, e.g. by using breadcrumb",,-,Does the elderly know where is he and what can he do next?,Provide location of the current page,Let users know where they are,"-Provide a site map
-Always provide a ‘home’ button, and let users know ‘where’ they are.
-Show the actual location all the time
-Provide clear information of current location at all times",7,y,n,n,y,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n
31,Icon or image purpose is clear and easily recognized by the user?,"-Only use icons/images that are easily identifiable, also to elderly users with low vision
-Ensure that the target users know the icon's meaning
-Enhance icon clarity with labels ",,-,Are the icons familiar to the elderly?,Icons should be simple and meaningful,-,"-...terms and/or icons that users will recognise
-‘Standard’ icons may be unfamiliar ~use with care or better reinforce with words.
-Show users what actions are possible and what will result from those actions. Transparent systems are easier to use. Making features distinguishable causes the display to be more user~friendly. Such features include icon size and style, and system functions. Some programs show the name and a brief explanation of each icon’s functions when hovering over the icon.
-Find representative words and icons. Use common words or icons or check with final users if they mean what you expect.
-icons should avoid both ambiguous and explicit affordances.",7,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n
32,"Functionality of interactable elements (buttons, etc) is consistent throughout the system?","-The same action should be activated with the interactable element in any part of the system), includes gestures.
-Any variation in function behavior requires additional interactable elements
-The action flow should be consistent, for example: do something-confirm-proceed",,-,"-Are items usage is the same from section to section within the launcher?
-Does clickgin the back buttons always go back to previous page that elderly comes from?",-,,"-Links must provide a description of their purpose and must be unique in the website
-Provide reusable commands and gestures to ensure consistent interactions across applications and functions
-Always associate the main functions of applications with the same location of the touch screen, such as on one of the four corners 
-Ensure that navigation is consistent throughout the website or application e.g., similar fonts, colors and sizes, the use of the same set of buttons menu in the same place on each screen, the use the same symbols and icons throughout the website/ application, consistent hyperlinks to proceed towards the next step. In addition, a way to decrease the strain on cognitive performance is to place tasks in a step by step order",8,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
33,Inputting data by typing is avoided?,"-User should only be asked to type information that cannot be given in any other format, such as email address.
-In general limit the amount of input required in any single view. For instance, split account making into different steps
-Try to ""pre fill"" data for user as much as possible or provide other ways to input data such as menu, selection lists, radio buttons, 
-Speech to text is still fiddly, but could be allowed depending on system; inputting data by recording audio or video is another valid option
-For touchscreen devices: bluetooth keyboards can be a more novel option in specific situations",,-,Does the graphical interface design and the organization help prevent errors?,Reduce the demand on working memory by supporting recognition rather than recall and provide fewer choices to the user,-,"-Avoid use of keypad in smartphones. Replace with drop down menus, choices or speech to text.
-Data entry should be kept to a minimum, however if possible, other options could be offered, such as clicking on predefined values, providing buttons or sliders for increment and decrement values or lastly using a physical keypad or keyboard
-Use automatic inputs as possible
-Reduce the need for keyboarding e.g., selecting choices from a dropdown list
-Provide a facile way to enter characters that need pressing at the same time two keys such as ‘@’ and ‘€’
-Allow for alternative forms of input. There should be options for alternative input methods (e.g., keyboard, mouse, voice) when tactile input is more difficult than such alternatives. It can be difficult to manipulate something a user cannot see. Sometimes a user’s hands can occlude necessary information on the screen. Enabling alternative input methods can alleviate such an issue. Older adult users tend to feel more comfortable with multiple input options, even if they do not use them.’",9,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n
34,Large information chunks are divided and made easy to navigate via familiar means?,Divide any larger pieces of information into smaller chuncks and add navigational aids if needed,,-,Does the graphical interface design and the organization help prevent errors?,Reduce the demand on working memory by supporting recognition rather than recall and provide fewer choices to the user,-,"-Other options to view an extended screen could be incorporating next/previous or up/down buttons....  Familiar gestures such as using a finger or stylus in a crossing off motion (X) to delete an item or ticking () to save an item are particularly compatible for older users learning this input strategy
-information needs to be divided into smaller, discrete chunks 
-Guided linear or random access structure that matches the audio interface were provided, the piece-by-piece process broke down a complex task into several easy-to-complete subtasks to reduce complexity, visual clusters were removed, and multiple contest pages on one screen were avoided.
-Ascertain that the minimum possible clicks are needed to do a given instruction
-Implement interfaces that put minimal load on Working Memory for older people. For example, avoid nested (multi-layered) interfaces; use multimodal interfaces that use both visual and phonological resources",7,y,n,n,y,n,n,y,n,n,n,n,n,y,n,n,n,y,n,n,y,n
35,"Error/confirmation messages are clear, simple and do not blame the user?","-The issue at hand should be clear, ideally explained as compact as possible, without becoming vague or counterproductive
-Do not blame the user or anybody else
-Do not use coarse language
-Do not make degatory remarks",,-,"- Are error messages descriptive, and did they provide a solution to the elderly for recovery?
- Are confirmation messages clear?",Error messages should be simple and easy to follow,-,"-Ensure that error feedback messages make it clear that the user is not the cause of the problem
-Use short feedback messages
-Older adults have been shown to learn more effectively when provided positive rather than negative feedback
-positive feedback icon was considered a motivator by users and an important indicator that they were making progress
-Consider (and evaluate early) cultural issues in the design of icons, particularly given users' age and strong attachment to a specific culture.",8,y,n,n,y,n,n,y,n,n,n,n,n,n,y,y,n,n,y,n,n,n
36,"If required, the application recognizes and caters for disabilities?","-Depending on the use case, either ensure that system can carter for specific disability, or create a version that carters for them separately. 
-In the case of system running on a web platform supporting some of the more commong accesibility tools is likely to be the most cost effective route
-Specific implementations or features to support: Gaze and Vocal input & commands
-Users with hand tremors or poor visibility are likely to benefit from  making  the input keys larger or other custom approaches can be permissible at the cost of aesthetics, if it increases input accuracy
-Vocal annoucement of character inputted by user, for visually impaired users
-For users with aphasia vertically aligned buttons can minimize errors",,-,-,-,"- Provide an extended audio described version of a video’s soundtrack, selectable by the user; or
- Provide an alternative version of your video with extended audio description.
","-the UI is split being divided each task in a different UI AND it is generated multimodal container of the type redundancy (text, images and vocal output) in each UI providing the table of contents for each UI AND it is generated other UI providing a site map of the application
-providing multimodal interaction to accommodate users’ social, physical and intellectual differences.
-Users with dyslexia or autism performed better when they used simpler interfaces while users with learning disabilities performed better with richer multimedia interfaces.
-Event: the user accesses an application with many interaction  elements. Condition: the user is blindAction: a table of content is created to easily access each interaction element.
-Provide all information for a given need on one page
-Make an identification of the status of all locking or toggle controls or keys accessible visually as well as by touch
-Scanning ambiguous keyboards shows
the best performance among the scanning text input.
-Utilize the speech-to-text or dictation mode for typing
-Use acoustic models dedicated to seniors for the speech recognizer
-Allow alternative forms of activation of the voice command, such as physical buttons
-Allow recognition of multiple voice commands at a time
-Allow universal control of the device rather than only of a few applications
- Provide alternatives to voice command in situations that require privacy
-Recognize voice in different languages, accents and intonations
-Consider speed-accuracy tradeoff, elderly users with tremor may prefer a more accurate input method, even if it is slower.
-Tolerate imprecise gestures. Gestures that require higher levels of precision can be difficult for older adults. Such gestures include aspects of interaction, such as timing, and any inputs that require high levels of accuracy
-Have the response buttons vertically aligned, to reduce the effects of visual neglect on responses.
-Every interactive element must properly describe their purpose for assistive technology users. Moreover, links must provide a description of their purpose and must be unique in the website",20,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n
37,The system confirms the finishing of a major step?,Always confirm that a major step or action the user has made (e.g. deleting or submitting a file) was successfully (or not) completed,A more overall useful implementation is likely speech to text as it provides assistant to number of usergroups,-,"Does the launcher keep elderly informe about what is going on, through appropriate feedback?",-,-,"- Applications should continuously provide easily recognizable feedback of success or failure with every action.
- I am able to tell that I have successfully completed an action in this app.
- Provide event-based reminders
-Give feedback after every action
- Provide a confirmation of every completed function",7,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n
38,"If multimedia content is used, can the user control/customize it (volume, fast forward, etc)?",Video and audio tracks should have basic controls,,-,-,-,-,"-if audio is played, allow changing volume
-Make the ability to stop sound feedback available at any time to move to the next function                    
-Enable users to control the volume themselves
-Enable users to replay auditory messages
-Enable user to adjust the speed of the audio background      
-Enable users to skip the audio background                                                                                                                                                                 
-Implement a volume control of the voice technology for the visually impaired who are also hearing impaired.",7,y,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n
39,All input fields and information fields are labeled clearly without breaking aesthetics?,"-All input fiels and information fields should be labeled clearly without breaking aesthetics
-They should be distinguishable from other clickable items",,-,-,-,"-Label all input fields clearly and helpfully.
- Where a field needs a specific format, give an example (For example, for a ‘date’ field in a form you might use ‘Enter the date as dd/mm/yyyy’)
-Mark required fields with an icon and explain what the icon means before the form.
-Keep your labels simple – too much explanation can be counter-productive. Things like ‘First name’, ‘Email’ and ‘Your message’ are fine.
-The same goes for instructions, ‘Required fields are in red and have a * symbol’ works great. So does ‘Fill in this form and click ‘Submit’ to get in touch’.
-Use informative headings and subheadings where appropriate (a change in topic or purpose) to aid navigation through your content.
-Label all elements (for example, sidebar widgets, forms, search boxes, tables).
","-Make the labels bolder and more visible, but only if design is acceptable from an aesthetic point of view
-Use labeled icons",6,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,n
40,Element placement is consistent ?,"-If application is redesigned, ensure user is sufficiently informed
-Elements should be placed in a consistent way throughout the application",,-,-,-,"-Use icons and buttons consistently
-Use menus consistently","-Show important information at the top
-When designing the interface you need to consider what you want the user to see, for example, being consistent when grouping elements to aid navigation and eliminating extraneous features so the screen is not cluttered
-The basic navigation structure should remain consistent throughout the whole application
-Display main information on the center of the screen",6,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y
41,Navigation elements' purpose is clear?,"-The destination or purpose of navigational elements should be clear to the user, e.g. marking navigation links bold and underlining and showing their destination when hovering
- t should be clearly indicated when navigation links are directing away from current system
",,-,Are the any visual cues in the launcher that helps the elderly know there is more content in a page?,"- Clear navigation should be provided
- Extra and bolder navigation cues should be provided","-Every link’s purpose is clear from its text
-This Guideline builds on Guideline 18 (WCAG)) by focusing only on the link text and removing some exceptions.
-Ensure that links with the same destination have the same description (but links don’t share a description if they point to different places).'Click here’ and ‘Read more’ links fail this guideline.
-Avoid using the title attribute (which was an exception in Guideline 18 (WCAG)) as is not sufficient to pass this guideline.

-Every link’s purpose is clear from its context
-The purpose of the link is clear from the link text (for example, ‘My blog’); or
-The purpose of the link is clear from the surrounding content, meaning the same sentence, paragraph or cell in a table (for example, ‘Visit my blog’ ); or If the link is an image, the alt text of the image makes the link purpose clear (for example, ‘Luke McGrath – Visit my blog’); and links with the same destination have the same description (but links don’t share a description if they point to different places).
","Provide descriptive links e.g., do not use “click here”",6,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n
42,Is there enough space between text lines?,"-All text should have sufficient space between lines
-Paragraphs should be split by white space
-Do not use narrow columns of text 
-Provide appropriate spacing between word (no too little, not too much) ",,-,-,-,-,"- One qualitative and two controlled trials found that performance of users with ADHD and dyslexia improved when texts were displayed with extra space
- Put a space to separate between paragraphs
- Put a spacing line between paragraphs
- Avoid narrow columns
- Ensure that the spacing between lines is from 1,5 to 2
- Provide larger distance between words",6,y,n,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y
43,Link placement and presentation is clear?,"-If aesthetically possible, show links in a bulleted list 
-In a sentence, only add links to the beginning or end of the sentence
-Cluster links into a meaningful group (navigation panel)",,-,-,Links should be in a bulleted list and not tightly clustered,-,"-Name links in a bulleted list
-Every interactive element must properly describe their purpose for assistive technology users.
-Use links only at the end or at the beginning of the sentence
-Increment the size of the zone round an hyperlink",6,y,n,n,y,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y
44,Interface can be provided vocally to user?,"Either support screen readers, or another assistive system 
reading tool or provide a vocal alternative for the visual interface",,-,,,,"-Make menu lists divided into morphemic units (broken into pieces), heard, and read back to the user
-Support system status determination with voice activation
-Provide an audio supported menus;
-Implement interfaces that put minimal load on Working Memory for older people. For example, avoid nested (multi layered) interfaces; use multi modal interfaces that use both visual and phonological resources.
-Event: onFocus over a link that opens a new window. Condition: the user is blind. Action: provide a vocal message to inform that this link will open a new window",6,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n
45,"Are all audio content, sound/speech feedback/instructions clear?","Ensure that any audio content is clear, in terms of language, messages and expressions used and that no background noise affects it.",,-,-,-,"-(live content) Add captions to live audio; or If the live broadcast is from a prepared script, make the script text available from near the original content.
-Make sure your pre-recorded audio doesn’t contain any background noise; or If there has to be some background noise, it’s generally 20 decibels lower than the foreground noise. That’s about four times quieter.
","-Increase the duration of the sound beeps
-Make a pause of some seconds after each spoken sentence
-Reduce the speed of the auditory background
-Utilize, by default, higher volume for delivering the auditory background",6,y,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n
46,"If applicable, is user aware of different navigation oppoturnities?","If multiple paths are possible, explain differences between them",,-,Does the elderly know where is he and what can he do next?,"-Screen layout, navigation and terminology used should be simple, 
clear and consistent
- Provide a site map","-Add a ‘Skip to Content’ link to all pages on your website. It’s best if you make the link visible.
-The easiest way to add a ‘Skip to Content’ link to your website is to use of a great piece of code from the guys on the PayPal Accessibility Team.They produced something called ‘SkipTo’, which adds a link for you. Best of all if you’re using WordPress or Drupal, there are plugins you can use. (source. WUHCAG)
-Adding an HTML sitemap page (which links to every page on your website) and link to it after the ‘Skip to Content’ link from Guideline 15(WCAG); and Including a search function on every page (by adding it to the header); and Providing a clear and consistent main navigation menu.
","-Provide an index bar to navigate to an entry in a list, place the bar on the left edge of the screen for right-handed users. If this design is not acceptable from an aesthetic point of view, the index bar may be better off being removed altogether.",6,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n
47,Error/confirmation messages clearly state how to solve the issue?,"-When indicating an error also provide a solution. For confirmation indicate the consequences of the confirmation
-Always provide the cause of an error and in case of a confirmation indicate clearly what the user will confirm",,-,"-Are error messages descriptive, and did they provide a solution to the elderly for recovery?
- Is the elderly aware when the launcher turns off or gets an error that causes it to stop working?
",-,"-Suggest fixes when users make errors
-Clearly identify input errors","-The application should allow recovery from errors in the simplest possible way.
-Ensure that error messages feedback provide mechanisms for resolving the error",7,y,n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,n
48,On touchscreen devices clickable items are easy to click (In terms of button placement)?,"-Button placements should be customizable to the dominant hand
-Ensure that core buttons are within easy reach of thumb when device held in one hand",,-,Do the items in the elderly interface fit the natural posture of the hand and finger?,-,-,"-For an amplitude of movement of 400 mm we recommend a motion angle of 90° as the lowest error rates occur between 90° and 180° and coevally (in this interval) the movement time is lowest for 90°. Whereas for a smaller amplitude (200 mm) an angle between 20°~40° should be preferred as the error rate remain
-Future designs should focus on model users typing patterns by analyzing touch features (e.g. x and y touch position, distance traveled during touch, key press duration, between keys duration etc.) and therefore increase typing accuracy
-inputs were made usable for right or left-handed older adults by putting the navigation and touch buttons in places that were in natural locations that were easy to reach with either left of right fingers.",5,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,y
49,"User can customize how (sound/text/audio only, or specific combination) or when feedback is given? ",User can easily turn on or off any form of feedback given,,-,Is there an option to enable them? (auth. note them = audio/haptic feedback),-,-,"-haptic and audio feedback that the user can enable through settings to augment or completely replace the visual feedback
-Provide a possibility to turn off the sound feedback
-Enable manual or automatic settings for the method of feedback to the user 
-Include both feedback and non-feedback modes, for use in treatment and clinical assessment respectively. Feedback on correct/incorrect responses was conveyed with a happy/sad face accompanied by a voice message.",5,n,n,n,y,y,n,n,n,n,n,n,y,n,n,y,n,n,y,n,n,n
53,Is there text alternative to all non-text content?,"-All non-text information has a text alternative
-Users with hearing difficulties might benefit from captioned videos, 
or alternatively from a transcript of the video content",,-,-,-,"-Add a text alternative to your images describing the image
-For video and audio, add a short description of the media but ideally provide a transcript
-Where a control or input field is non text, add a name
-Provide a full text transcript for your video and link to it from near the original content","-Provide text alternatives for any non-text content so that it can be changed into other forms people need, such as large print, braille, speech, symbols or simpler language.
-Make sure that images and icons have an alternative text (alt attribute)
-Provide text alternatives for non-text content that serves the same purpose.
-Event: the noise of the environment changes to a value higher than 25 decibels. Condition: the user has a mild deafness disability. Action: every video has to be changed to a video with subtitles",7,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n
54,Can the system be controlled with a keyboard?,"-In terms of programming: Clean html & css website is easier avenue to provide support for traditional keyboards.
-If traditional keyboard support is required/used, ensure navigation works on all pages & elements are highlighted under focus
",,-,-,-,"-A clean HTML and CSS website will often have keyboard accessibility without further work ~a great example of why you need to invest in web design and development from the outset
-Test your website to make sure you can navigate away from, as well as to, all parts of your website by keyboard only.
-Make sure all navigation is controllable by either the ‘Tab’ or arrow keys, which is a standard many people are familiar with.
-Use CSS to apply a visual aid to keyboard focus – a border and/or underline is best.
",-,6,n,n,y,y,n,y,n,n,n,n,n,n,y,n,n,y,y,y,y,n,n
56,Clickable items do not require double clicking?,Do not require user to double click,,-,-,-,,"-Use Single Touch if there is a need of including all types of older users
-Avoid scrolling and requiring double click
-Features such as double tapping and scroll bars should be avoided for touch screen use
-Use single mouse clicks",4,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
58,Keypad on touchscreen devices is split between text & numbers? ,"Only show buttons relevant for current input.
 "," Note that most touchscreen devices already do this, if input field is correctly encoded",-,Is the keypad separated into numbers and letters for data entry?,-,-,"-Separate keypads for numbers and letters
-In case of virtual keyboards on small screens, split the alphabet into several sections or menus",4,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n
59,Interactable elements give a clear indication of being interactable and their purpose?,"-It should be clear from its appearance when the user can use an element for interaction. For instance, highlighting buttons with a border, or traditional rectangular buttons are recommended as these are common 
-Any button or otherwise interactable element should be labeled to state its purpose
-The interactable element can be an icon or image, but it must always be used solely for this purpose
",,-,"-Is it obvious which item is clickable and which is not?
- Is the image on a button or an icon easy to predict what does it do?
- Are buttons large enough to easily see the image or text on them?
- Are the icons familiar to the elderly?",-,-,"- Give clear evidence to active areas so that users can locate them more easily;
- Every interactive element must properly describe their purpose for assistive technology users.",8,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
60,"On touchscreen devices, if gestures are used does the system responds smoothly to them?","Responce to gestures should be fast and smootly, irrelevant of device model. Smooth & fast meaning that no lagging, or losing of input information",,-,Do gestures of launcher work correctly and smoothly,-,-,"- Slow down the rate at which virtual objects adjust based on subtle hand movements, particularly during resizing and rotating actions.
- Make gesture recognition flexible, allowing greater variation in form and execution speed
- Make the touch screen startable in any position on the screen",4,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
61,"If a button is pressed multiple times within a short time period, it is only registered as once click?","Avoid that multiple rapid clicks or taps are register as different events, except for cases where this might be counterintuive 
(such as increasing numbers, or zooming)",,-,-,-,-,"-Provide an adjustable delay of button response to ensure that multiple touches can be treated as one touch
-Make it possible to hold they key up to 2 s before the action will repeat 
-Omit touch interactions that are below a certain threshold 
-Delay and feedback when pressing a button. The touch screen buttons react too fast.",4,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
62,User can distinguish between visited & not visited links?,Change color or boldness/color of a visited link,,-,-,- The reader should be able to clearly see which links have been visited and which have not,-,"- Maintain link underlined.
- Make difference between visited and unvisited hyperlinks
-Change the color of the visited links",4,y,n,n,y,n,n,n,n,n,n,y,n,y,n,y,n,n,n,y,n,n
63,"On touchscreen devices, are the gestures used taking users with disabilities into account?","-Using gliding for selection, though very situational, might make the task easier for the user
-Crossing & tapping likely outperform most other gestures
-For visually impaired users, ensure they understand names of gestures, terms such as ""crossing"" might not be clear",,-,-,-,-,"-Make selections using gliding gestures for direct manipulation
-Physical disabilities could especially cause problems when interacting with larger touch screens or complicated gestures
-For the 12 and 17 mm targets, use Crossing and Tapping over Directional Gestures, which are significantly more inaccurate. Even when considering small targets, Gestures do not outperform any of the remaining techniques, thus showing no gain in its usage.
-Create a standard gesture vocabulary for the visually impaired ",4,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
64,"If a system has several modes, is the user aware of the one currently active?","-Before changing a mode, ask the user to confirm the mode change with clear information on what is changing
-After changing mode, give feedback on succesfully doing so and how to revert it, if need be (preferably with undo button included in the feedback)
-Show clearly, e.g. with a labelled icon, the currently active mode",,-,"-Does the graphical interface design and the organization help prevent errors?
-Provide an indicator of ringing or vibrating mode",-,-,"-If a multi-mode design is needed, provide an explicit feedback about mode-changes and a display of the current mode. The indicators of mode changes should be persistent and large, since the elderly users may fail to notice short alerts or small changes in the look-and-feel.
-Some elderly users are less likely to notice changes of the modes and can become confused. Avoid multimode interfaces for applications as much as possible.
",4,y,n,n,y,n,n,n,n,n,y,n,n,y,n,y,n,n,n,n,n,n
67,"Clear instructions are available for more novel gestures (drag & drop, pinch, etc)?","-User may not remember any novel gesture
-Ensure instructions are available for any ""complex"" gesture, such as : drag & drop or pinchin are visible always
-Also some users might make assumptions on how to perform the gesture, provide sufficient feedback for erroneus behaviour",,-,-,-,-,"- provide instructions and clear visual clues to show which gesture invokes which function
- provide a more explicit cues for interaction to help facilitate initial learning and perhaps subsequent use of the technology. For example, if users do not immediately know whether an object is selectable, dragable, resizable, and/or rotatable, indicating this functionality visually would aid usability
- Do not reuse or enable for touch interaction  without appropriate adaption existing interfaces due to a different accuracy and touch target size of finger and mouse
- Rely on familiar aspects of manipulating physical photographs",4,y,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n
68,There are no unnecessary animations or moving elements?,"Avoid unnecessary animations (e..g., animated images, moving text) or moving graphics",,-,-,No animation should be present,-,"- Avoid animation e.g., animated images, moving text
- Use static menus, and avoid fly out or pulldown or dropdown menus",3,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n
69,No uncommon symbols or special characters are used?,"Avoid special symbols or numerals, or hyphens",,-,-,-,-,"- Don’t hyphenate words at the end of phrases
- Avoid abbreviations and symbols
- Avoid Roman Numerals",3,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n
70,System allows multimodal interaction (e.g. voice commands)?,Possibilities are:- Speech to text- Speech commands- Speech menu with volume control- Support keyboard gazing input,,-,-,-,-,"-providing multimodal interaction to accommodate users’ social, physical and intellectual differences.
-Participants could employ a speech-centric multimodal interface to use a map-based information service, while they could neither use text only nor speech only
-Implement a volume control of the voice technology for the visually impaired who are also hearing impaired.
-Make an identification of the status of all locking or toggle controls or keys accessible visually as well as by touch
-Scanning ambiguous keyboards shows the best performance among the scanning text input.
-Utilize the speech to text or dictation mode for typing
-Use acoustic models dedicated to seniors for the speech recognizer",8,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n
71,"On touchscreen devices, interactable elements are not clipped directly to edges?","Avoid placing interactable items near the edges of a screen in a touchscreen device, as the user might accidentally click them.",,-,-,-,-," -Overall, when designing new touch interfaces, Edges should be handled carefully.
-When placing targets near edges or corners, be careful selecting their size and interaction technique, due to physical restrictions imposed by the device. Although screen barriers offer physical stability, they can also restrict users' movements. For instance, results have shown that acquiring mid screen targets (Crossing) is easier than towards screen barriers (Exiting).
-Do not use wide space between related information: When related information is shown on the screen, this information should be shown closer on the page in order to make this relationship visual too.",3,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y
72,"On touchscreen devices with small screen, do simple gestures replace buttons?","On very small screens, gestures can replace buttons as long as it is clear to users and they can revert back to buttons easily",,-,-,-,,"-On the other hand, when targets are small (7 mm), Tapping techniques should be avoided near Edges and instead make use of Directional Gestures (for able-bodied)
-Regarding Task Errors, screen areas did not affect users’ performance. However, corners and edges allow users to tap targets more precisely, and perform directional gestures less erroneously. Consider that support from screen barriers, indeed, offers physical stability. 
-Regarding Edges, Tapping is a better choice, since performing a particular Directional Gesture at this screen area may be difficult for tetraplegic users.",3,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n
